Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PTLC,8543,0,0.00,0,0.00,36.96,8212,331
PFEB,8529,0,0.00,0,0.00,28.67,8429,100
EMGF,8498,0,0.00,0,0.00,41.60,6696,1802
RPHS,8475,0,0.00,0,0.00,8.39,8475,0
RSBT,8452,0,0.00,0,0.00,20.00,8252,200
FOCT,8219,0,0.00,0,0.00,34.26,8219,0
MLN,8090,0,0.00,0,0.00,17.46,8090,0
REGL,8066,0,0.00,0,0.00,74.02,8011,55
PTEU,8054,0,0.00,0,0.00,25.39,8054,0
DAPR,8005,0,0.00,0,0.00,29.68,8005,0
NUMV,7838,0,0.00,0,0.00,30.96,7778,60
KNG,7784,0,0.00,0,0.00,51.65,7784,0
JEMA,7750,0,0.00,0,0.00,35.79,7250,500
NANC,7583,0,0.00,0,0.00,24.94,5764,1819
GHTA,7561,0,0.00,0,0.00,25.89,7561,0
GVI,7484,0,0.00,0,0.00,102.29,7484,0
ICOW,7472,0,0.00,0,0.00,29.08,7389,83
LQDI,7364,0,0.00,0,0.00,25.35,7364,0
HYDB,6992,0,0.00,0,0.00,43.57,6992,0
BBIN,6783,0,0.00,0,0.00,53.05,6783,0
PTMC,6698,0,0.00,0,0.00,33.44,6698,0
PDEC,6686,0,0.00,0,0.00,30.76,6686,0
IBML,6683,0,0.00,0,0.00,25.33,6683,0
FJAN,6669,0,0.00,0,0.00,34.10,6669,0
EMHY,6641,0,0.00,0,0.00,34.70,6641,0
BBUS,6620,0,0.00,0,0.00,71.69,6620,0
UFEB,6467,0,0.00,0,0.00,26.05,6467,0
EPRF,6317,0,0.00,0,0.00,19.17,3753,2564
FPRO,6241,0,0.00,0,0.00,21.51,5241,1000
XJH,6193,0,0.00,0,0.00,35.39,6193,0
GDE,6159,0,0.00,0,0.00,22.21,4628,1531
GJAN,5888,0,0.00,0,0.00,30.30,5888,0
FDG,5855,0,0.00,0,0.00,55.70,5755,100
FDRV,5715,0,0.00,0,0.00,18.43,5649,66
XBTF,5676,0,0.00,0,0.00,24.67,2722,2954
NUEM,5555,0,0.00,0,0.00,26.65,5355,200
BBSA,5508,0,0.00,0,0.00,46.97,5508,0
CEMB,5488,0,0.00,0,0.00,43.06,5488,0
XVV,5419,0,0.00,0,0.00,29.98,5220,199
VOTE,5333,0,0.00,0,0.00,46.27,5333,0
BMAR,5309,0,0.00,0,0.00,33.65,5309,0
JCPB,5271,0,0.00,0,0.00,46.22,4639,632
FCPI,5221,0,0.00,0,0.00,31.46,4820,401
IBHD,5149,0,0.00,0,0.00,22.94,5148,1
IBHF,5107,0,0.00,0,0.00,22.41,5107,0
BJAN,5100,0,0.00,0,0.00,34.34,5100,0
DFIS,4938,0,0.00,0,0.00,22.90,3553,1385
SHYD,4879,0,0.00,0,0.00,22.16,4879,0
PSEP,4878,0,0.00,0,0.00,30.17,4878,0
PSMG,4841,0,0.00,0,0.00,16.75,4841,0
MSTB,4706,0,0.00,0,0.00,25.56,4706,0
IBMO,4596,0,0.00,0,0.00,25.09,4196,400
DOCT,4567,0,0.00,0,0.00,32.16,4567,0
DDWM,4520,0,0.00,0,0.00,31.15,4520,0
IBHC,4417,0,0.00,0,0.00,23.59,4417,0
OUSA,4395,0,0.00,0,0.00,41.38,4395,0
IYLD,4346,0,0.00,0,0.00,19.37,4260,86
SECT,4346,0,0.00,0,0.00,40.68,4346,0
IBMP,4329,0,0.00,0,0.00,25.00,3729,600
PAPR,4204,0,0.00,0,0.00,28.96,4204,0
RDFI,4200,0,0.00,0,0.00,22.86,4000,200
SMMD,4188,0,0.00,0,0.00,57.05,3988,200
ZECP,4178,0,0.00,0,0.00,23.35,4178,0
VCEB,4170,0,0.00,0,0.00,60.84,4170,0
TMFC,4050,0,0.00,0,0.00,33.05,3850,200
UJAN,4050,0,0.00,0,0.00,30.53,4050,0
QVOY,4043,0,0.00,0,0.00,25.02,4043,0
CEFS,4017,0,0.00,0,0.00,18.15,4017,0
IBHI,4000,0,0.00,0,0.00,21.67,4000,0
BBRE,3932,0,0.00,0,0.00,87.32,3932,0
PSMM,3901,0,0.00,0,0.00,13.73,3901,0
SMMV,3898,0,0.00,0,0.00,36.10,3898,0
